"Marca","Modelo","Ano","Combustível","Tração","Preçoref"
"61","GM - Chevrolet","S10 P-Up Colina 2.8 TDI 4x2/4x4 CD Dies.","2008","Diesel","4x4",67725
"62","GM - Chevrolet","S10 P-Up Colina 2.8 TDI 4x2/4x4 CD Dies.","2009","Diesel","4x4",70585
"63","GM - Chevrolet","S10 P-Up Colina 2.8 TDI 4x2/4x4 CD Dies.","2010","Diesel","4x4",72577
"64","GM - Chevrolet","S10 P-Up Colina 2.8 TDI 4x2/4x4 CD Dies.","2011","Diesel","4x4",74610
"65","GM - Chevrolet","S10 P-Up Colina 2.8 TDI 4x2/4x4 CD Dies.","2012","Diesel","4x4",76764
"66","GM - Chevrolet","S10 P-Up Tornado 2.8 TDI 4x2/4x4 CD Dies","2007","Diesel","4x4",65339
"67","GM - Chevrolet","S10 P-Up Tornado 2.8 TDI 4x2/4x4 CD Dies","2008","Diesel","4x4",67854
"68","GM - Chevrolet","S10 P-Up Tornado 2.8 TDI 4x2/4x4 CD Dies","2009","Diesel","4x4",70833
"69","GM - Chevrolet","S10 P-Up Tornado 2.8 TDI 4x2/4x4 CD Dies","2010","Diesel","4x4",75094
"70","GM - Chevrolet","S10 P-Up Tornado 2.8 TDI 4x2/4x4 CD Dies","2011","Diesel","4x4",77213
"71","Hyundai","Santa Fe GLS 2.7 V6 4x4TipTronic","2007","Gasolina","4x4",37605
"72","Hyundai","Santa Fe GLS 2.7 V6 4x4TipTronic","2008","Gasolina","4x4",41244
"73","Hyundai","Santa Fe GLS 2.7 V6 4x4TipTronic","2009","Gasolina","4x4",42408
"74","Hyundai","Santa Fe GLS 2.7 V6 4x4TipTronic","2010","Gasolina","4x4",45001
"75","Hyundai","Santa Fe GLS 2.7 V6 4x4TipTronic","2011","Gasolina","4x4",50978
"76","Jeep","Cherokee Sport 3.7 4x4 V6 12V Aut.","2007","Gasolina","4x4",44551
"77","Jeep","Cherokee Sport 3.7 4x4 V6 12V Aut.","2008","Gasolina","4x4",51278
"78","Jeep","Cherokee Sport 3.7 4x4 V6 12V Aut.","2009","Gasolina","4x4",52724
"79","Jeep","Cherokee Sport 3.7 4x4 V6 12V Aut.","2010","Gasolina","4x4",54201
"80","Jeep","Cherokee Sport 3.7 4x4 V6 12V Aut.","2012","Gasolina","4x4",66041
"81","Kia Motors","Bongo K-2700 2.7 4x2/4x4 Diesel","2007","Diesel","4x4",48731
"82","Kia Motors","Bongo K-2700 2.7 4x2/4x4 Diesel","2008","Diesel","4x4",57102
"83","Kia Motors","Bongo K-2700 2.7 4x2/4x4 Diesel","2009","Diesel","4x4",59274
"84","Kia Motors","Bongo K-2700 2.7 4x2/4x4 Diesel","2010","Diesel","4x4",60946
"85","Kia Motors","Bongo K-2700 2.7 4x2/4x4 Diesel","2011","Diesel","4x4",68396
"86","Kia Motors","Bongo K-2700 2.7 4x2/4x4 Diesel","2012","Diesel","4x4",73521
"87","Kia Motors","Bongo K-2700 2.7 4x4 CD Diesel","2007","Diesel","4x4",42494
"88","Kia Motors","Bongo K-2700 2.7 4x4 CD Diesel","2008","Diesel","4x4",46079
"89","Kia Motors","Bongo K-2700 2.7 4x4 CD Diesel","2009","Diesel","4x4",58109
"90","Kia Motors","Bongo K-2700 2.7 4x4 CD Diesel","2010","Diesel","4x4",59748
"91","Kia Motors","Bongo K-2700 2.7 4x4 CD Diesel","2011","Diesel","4x4",64450
"92","Kia Motors","Bongo K-2700 2.7 4x4 CD Diesel","2012","Diesel","4x4",66789
"93","Kia Motors","Sorento EX 2.5 140/170cv 4x4 Aut.Diesel","2007","Diesel","4x4",49757
"94","Kia Motors","Sorento EX 2.5 140/170cv 4x4 Aut.Diesel","2008","Diesel","4x4",51151
"95","Kia Motors","Sorento EX 2.5 140/170cv 4x4 Aut.Diesel","2009","Diesel","4x4",60296
"96","Kia Motors","Sportage EX 2.7 V6 4x4 Aut.","2007","Gasolina","4x4",31201
"97","Kia Motors","Sportage EX 2.7 V6 4x4 Aut.","2008","Gasolina","4x4",35632
"98","Kia Motors","Sportage EX 2.7 V6 4x4 Aut.","2009","Gasolina","4x4",37145
"99","Kia Motors","Sportage EX 2.7 V6 4x4 Aut.","2010","Gasolina","4x4",43201
"100","Land Rover","Defender 130 TDI CD Diesel","2008","Diesel","4x4",107414
"101","Land Rover","Defender 130 TDI CD Diesel","2009","Diesel","4x4",116445
"102","Land Rover","Defender 130 TDI CD Diesel","2010","Diesel","4x4",126455
"103","Land Rover","Defender 130 TDI CD Diesel","2011","Diesel","4x4",146685
"104","Land Rover","Discovery3 HSE 2.7 4x4 TDI Diesel Aut.","2007","Diesel","4x4",71047
"105","Land Rover","Discovery3 HSE 2.7 4x4 TDI Diesel Aut.","2008","Diesel","4x4",73462
"106","Land Rover","Discovery3 HSE 2.7 4x4 TDI Diesel Aut.","2009","Diesel","4x4",86573
"107","Land Rover","Discovery3 HSE 4.4 V8 4x4 299cv Aut.","2007","Gasolina","4x4",57916
"108","Land Rover","Discovery3 HSE 4.4 V8 4x4 299cv Aut.","2008","Gasolina","4x4",64308
"109","Land Rover","Discovery3 HSE 4.4 V8 4x4 299cv Aut.","2009","Gasolina","4x4",81049
"110","Land Rover","Discovery3 S 2.7 4x4 TDI Diesel Aut.","2007","Diesel","4x4",69375
"111","Land Rover","Discovery3 S 2.7 4x4 TDI Diesel Aut.","2008","Diesel","4x4",74389
"112","Land Rover","Discovery3 S 2.7 4x4 TDI Diesel Aut.","2009","Diesel","4x4",79029
"113","Mercedes-Benz","ML-350 3.5  4x4","2007","Gasolina","4x4",70690
"114","Mercedes-Benz","ML-350 3.5  4x4","2008","Gasolina","4x4",72684
"115","Mercedes-Benz","ML-350 3.5  4x4","2009","Gasolina","4x4",80722
"116","Mercedes-Benz","ML-350 3.5  4x4","2010","Gasolina","4x4",102528
"117","Mitsubishi","Airtrek 2.4 16V 163cv/ 136cv 4x4 5p Aut.","2007","Gasolina","4x4",29723
"118","Mitsubishi","Airtrek 2.4 16V 163cv/ 136cv 4x4 5p Aut.","2008","Gasolina","4x4",31635
"119","Mitsubishi","L200 GL 2.5 4X4 CD Diesel","2007","Diesel","4x4",53743
"120","Mitsubishi","L200 GL 2.5 4X4 CD Diesel","2008","Diesel","4x4",55692
"121","Mitsubishi","L200 GL 2.5 4X4 CD Diesel","2009","Diesel","4x4",58390
"122","Mitsubishi","L200 GL 2.5 4X4 CD Diesel","2010","Diesel","4x4",60025
"123","Mitsubishi","L200 GL 2.5 4X4 CD Diesel","2011","Diesel","4x4",61706
"124","Mitsubishi","L200 GL 2.5 4X4 CD Diesel","2012","Diesel","4x4",65330
"125","Mitsubishi","L200 GLS 2.5 4X4 CD Diesel","2007","Diesel","4x4",54132
"126","Mitsubishi","L200 GLS Sport 2.5 4x4 121cv CD DTI Dies","2007","Diesel","4x4",55292
"127","Mitsubishi","L200 Savana 2.5 4x4 121cv CD DTI  Dies.","2007","Diesel","4x4",48206
"128","Mitsubishi","L200 Savana 2.5 4x4 121cv CD DTI  Dies.","2008","Diesel","4x4",54045
"129","Mitsubishi","L200 Savana 2.5 4x4 121cv CD DTI  Dies.","2009","Diesel","4x4",55570
"130","Mitsubishi","L200 Savana 2.5 4x4 121cv CD DTI  Dies.","2010","Diesel","4x4",60745
"131","Mitsubishi","L200 Savana 2.5 4x4 121cv CD DTI  Dies.","2011","Diesel","4x4",69058
"132","Mitsubishi","L200 Savana 2.5 4x4 121cv CD DTI  Dies.","2012","Diesel","4x4",73714
"133","Mitsubishi","L200 Sport HPE 2.5 4x4 CD DTI Dies. Aut.","2007","Diesel","4x4",68958
"134","Mitsubishi","L200 Sport HPE 2.5 4x4 CD DTI Dies. Mec.","2007","Diesel","4x4",53054
"135","Mitsubishi","L200 Sport RS 2.5 CD DTI (passeio) Dies.","2007","Diesel","4x4",52524
"136","Mitsubishi","Pajero Sport SE/ HPE 2.8 4x4 Diesel Aut.","2007","Diesel","4x4",51673
"137","Mitsubishi","Pajero TR4 2.0/ 2.0 Flex 16V 4x4 Aut.","2007","Flex","4x4",37426
"138","Mitsubishi","Pajero TR4 2.0/ 2.0 Flex 16V 4x4 Aut.","2008","Flex","4x4",40720
"139","Mitsubishi","Pajero TR4 2.0/ 2.0 Flex 16V 4x4 Aut.","2009","Flex","4x4",43724
"140","Mitsubishi","Pajero TR4 2.0/ 2.0 Flex 16V 4x4 Aut.","2010","Flex","4x4",52832
"141","Mitsubishi","Pajero TR4 2.0/ 2.0 Flex 16V 4x4 Aut.","2011","Flex","4x4",55515
"142","Mitsubishi","Pajero TR4 2.0/ 2.0 Flex 16V 4x4 Aut.","2012","Flex","4x4",60025
"143","Mitsubishi","Pajero TR4 2.0/ 2.0 Flex 16V 4x4 Aut.","2013","Flex","4x4",62034
"144","Mitsubishi","Pajero TR4 2.0/ 2.0 Flex 16V 4x4 Aut.","2014","Flex","4x4",67748
"145","Mitsubishi","Pajero TR4 2.0/ 2.0 Flex 16V 4x4 Aut.","2015","Flex","4x4",71778
"146","Mitsubishi","Pajero TR4 2.0/ 2.0 Flex 16V 4x4 Mec.","2007","Flex","4x4",36030
"147","Mitsubishi","Pajero TR4 2.0/ 2.0 Flex 16V 4x4 Mec.","2008","Flex","4x4",39792
"148","Mitsubishi","Pajero TR4 2.0/ 2.0 Flex 16V 4x4 Mec.","2009","Flex","4x4",43297
"149","Mitsubishi","Pajero TR4 2.0/ 2.0 Flex 16V 4x4 Mec.","2010","Flex","4x4",52337
"150","Mitsubishi","Pajero TR4 2.0/ 2.0 Flex 16V 4x4 Mec.","2011","Flex","4x4",55289
"151","Mitsubishi","Pajero TR4 2.0/ 2.0 Flex 16V 4x4 Mec.","2012","Flex","4x4",59144
"152","Mitsubishi","Pajero TR4 2.0/ 2.0 Flex 16V 4x4 Mec.","2015","Flex","4x4",62480
"153","Mitsubishi","Pajero TR4 2.0 Blind. 16V 131cv 4x4 Aut.","2007","Gasolina","4x4",41020
"154","Mitsubishi","Pajero TR4 2.0 Blind. 16V 131cv 4x4 Aut.","2008","Gasolina","4x4",42930
"155","Mitsubishi","Pajero TR4 2.0 Blind. 16V 131cv 4x4 Aut.","2009","Gasolina","4x4",44236
"156","Mitsubishi","Pajero TR4 2.0 Blind. 16V 131cv 4x4 Mec.","2007","Gasolina","4x4",40416
"157","Nissan","Frontier SE Serrana CD 4x4 2.8 TB Dies","2007","Diesel","4x4",67053
"158","Nissan","Frontier SE/SE Strik/ONE CD 4x4 2.8 Dies","2007","Diesel","4x4",66632
"159","Nissan","Frontier SE/SE Strik/ONE CD 4x4 2.8 Dies","2008","Diesel","4x4",69521
"160","Nissan","Frontier XE/ XE TIT. CD 4x4 2.8 TDI Dies","2007","Diesel","4x4",66424
"161","Nissan","Frontier XE/ XE TIT. CD 4x4 2.8 TDI Dies","2008","Diesel","4x4",68297
"162","Nissan","XTerra SE 4x4 2.8 132/140cv TB Int.Dies.","2007","Diesel","4x4",76854
"163","Nissan","XTerra SE 4x4 2.8 132/140cv TB Int.Dies.","2008","Diesel","4x4",79006
"164","Nissan","XTerra XE 4x4 2.8 132cv TB Int. Diesel","2007","Diesel","4x4",52994
"165","Subaru","Forester 2.0/2.0 S/2.0 ES 4x4 Aut.","2007","Gasolina","4x4",27723
"166","Subaru","Forester 2.0/2.0 S/2.0 ES 4x4 Aut.","2008","Gasolina","4x4",33369
"167","Subaru","Forester 2.0/2.0 S/2.0 ES 4x4 Aut.","2009","Gasolina","4x4",36373
"168","Subaru","Forester 2.0/2.0 S/2.0 ES 4x4 Aut.","2010","Gasolina","4x4",38421
"169","Subaru","Forester 2.0/2.0 S/2.0 ES 4x4 Aut.","2011","Gasolina","4x4",45974
"170","Subaru","Forester 2.0/2.0 S/2.0 ES 4x4 Aut.","2012","Gasolina","4x4",49404
"171","Subaru","Forester 2.0/2.0 S/2.0 ES 4x4 Aut.","2013","Gasolina","4x4",65188
"172","Subaru","Forester 2.0/2.0 S/2.0 ES 4x4 Aut.","2014","Gasolina","4x4",72093
"173","Subaru","Forester 2.0/2.0 S/2.0 ES 4x4 Aut.","2015","Gasolina","4x4",90850
"174","Subaru","Forester 2.0/2.0 S/2.0 ES 4x4 Aut.","2016","Gasolina","4x4",103352
"175","Subaru","Forester 2.0/2.0 S/2.0 ES 4x4 Aut.","2017","Gasolina","4x4",120000
"176","Subaru","Forester 2.0/2.0 S/2.0 ES 4x4 Aut.","2018","Gasolina","4x4",126647
"177","Subaru","Forester 2.0/2.0 S/2.0 ES 4x4 Aut.","2019","Gasolina","4x4",146442
"178","Subaru","Forester 2.0/2.0 S/2.0 ES 4x4 Aut.","2020","Gasolina","4x4",176633
"179","Subaru","Forester 2.0/2.0 S/2.0 ES 4x4 Aut.","2021","Gasolina","4x4",182287
"180","Subaru","Impreza SD WRX 2.0 16V TB 4x4","2018","Gasolina","4x4",157408
"181","Subaru","Impreza SD WRX 2.0 16V TB 4x4","2019","Gasolina","4x4",181559
"182","Subaru","Impreza SD WRX 2.0 16V TB 4x4","2020","Gasolina","4x4",187359
"183","Suzuki","Grand Vitara 2.0 16V 4x2/4x4 5p Aut.","2009","Gasolina","4x4",43050
"184","Suzuki","Grand Vitara 2.0 16V 4x2/4x4 5p Aut.","2010","Gasolina","4x4",44219
"185","Suzuki","Grand Vitara 2.0 16V 4x2/4x4 5p Aut.","2011","Gasolina","4x4",46344
"186","Suzuki","Grand Vitara 2.0 16V 4x2/4x4 5p Aut.","2012","Gasolina","4x4",49172
"187","Suzuki","Grand Vitara 2.0 16V 4x2/4x4 5p Aut.","2013","Gasolina","4x4",57273
"188","Suzuki","Grand Vitara 2.0 16V 4x2/4x4 5p Aut.","2014","Gasolina","4x4",62090
"189","Suzuki","Grand Vitara 2.0 16V 4x2/4x4 5p Aut.","2015","Gasolina","4x4",65166
"190","Suzuki","Grand Vitara 2.0 16V 4x2/4x4 5p Aut.","2016","Gasolina","4x4",78669
"191","Suzuki","Grand Vitara 2.0 16V 4x2/4x4 5p Mec.","2009","Gasolina","4x4",35753
"192","Suzuki","Grand Vitara 2.0 16V 4x2/4x4 5p Mec.","2010","Gasolina","4x4",43289
"193","Suzuki","Grand Vitara 2.0 16V 4x2/4x4 5p Mec.","2011","Gasolina","4x4",44511
"194","Suzuki","Grand Vitara 2.0 16V 4x2/4x4 5p Mec.","2012","Gasolina","4x4",46796
"195","Suzuki","Grand Vitara 2.0 16V 4x2/4x4 5p Mec.","2013","Gasolina","4x4",48840
"196","Suzuki","Grand Vitara 2.0 16V 4x2/4x4 5p Mec.","2014","Gasolina","4x4",57984
"197","Suzuki","Grand Vitara 2.0 16V 4x2/4x4 5p Mec.","2015","Gasolina","4x4",60700
"198","Suzuki","Grand Vitara 2.0 16V 4x2/4x4 5p Mec.","2016","Gasolina","4x4",75554
"199","Toyota","Hilux CD 4x4 2.8 Diesel Mec.","2016","Diesel","4x4",155000
"200","Toyota","Hilux CD 4x4 2.8 Diesel Mec.","2017","Diesel","4x4",165178
"201","Toyota","Hilux CD 4x4 2.8 Diesel Mec.","2018","Diesel","4x4",169836
"202","Toyota","Hilux CD 4x4 2.8 Diesel Mec.","2019","Diesel","4x4",178198
"203","Toyota","Hilux CD 4x4 2.8 Diesel Mec.","2020","Diesel","4x4",192212
"204","Toyota","Hilux CD 4x4 2.8 Diesel Mec.","2021","Diesel","4x4",224515
"205","Toyota","Hilux CD 4x4 2.8 Diesel Mec.","2022","Diesel","4x4",230849
"206","Toyota","Hilux CD D4-D 4x4 2.5 16V 102cv TB Dies.","2007","Diesel","4x4",83985
"207","Toyota","Hilux CD D4-D 4x4 2.5 16V 102cv TB Dies.","2008","Diesel","4x4",87136
"208","Toyota","Hilux CD D4-D 4x4 2.5 16V 102cv TB Dies.","2009","Diesel","4x4",92714
"209","Toyota","Hilux CD D4-D 4x4 2.5 16V 102cv TB Dies.","2010","Diesel","4x4",95329
"210","Toyota","Hilux CD D4-D 4x4 2.5 16V 102cv TB Dies.","2011","Diesel","4x4",100223
"211","Toyota","Hilux CD D4-D 4x4 2.5 16V 102cv TB Dies.","2012","Diesel","4x4",107741
"212","Toyota","Hilux CD SR D4-D 4x4 3.0  TDI Dies.","2007","Diesel","4x4",89535
"213","Toyota","Hilux CD SR D4-D 4x4 3.0  TDI Dies.","2008","Diesel","4x4",92678
"214","Toyota","Hilux CD SR D4-D 4x4 3.0  TDI Dies.","2009","Diesel","4x4",98883
"215","Toyota","Hilux CD SR D4-D 4x4 3.0  TDI Dies.","2010","Diesel","4x4",101672
"216","Toyota","Hilux CD SR D4-D 4x4 3.0  TDI Dies.","2011","Diesel","4x4",115187
"217","Toyota","Hilux CD SR D4-D 4x4 3.0  TDI Dies.","2012","Diesel","4x4",118436
"218","Toyota","Hilux CD SR D4-D 4x4 3.0  TDI Dies.","2013","Diesel","4x4",126475
"219","Toyota","Hilux CD SR D4-D 4x4 3.0  TDI Dies.","2014","Diesel","4x4",141120
"220","Toyota","Hilux CD SR D4-D 4x4 3.0  TDI Dies.","2015","Diesel","4x4",144977
"221","Toyota","Hilux CD SRV D4-D 4x4 3.0  TDI Dies","2007","Diesel","4x4",97124
"222","Toyota","Hilux CD SRV D4-D 4x4 3.0  TDI Dies","2008","Diesel","4x4",103953
"223","Toyota","Hilux CD SRV D4-D 4x4 3.0  TDI Dies","2009","Diesel","4x4",109720
"224","Toyota","Hilux CD SRV D4-D 4x4 3.0  TDI Dies","2010","Diesel","4x4",122155
"225","Toyota","Hilux CD SRV D4-D 4x4 3.0  TDI Dies","2011","Diesel","4x4",127747
"226","Toyota","Hilux CD SRV D4-D 4x4 3.0  TDI Dies","2012","Diesel","4x4",139136
"227","Toyota","Hilux CD SRV D4-D 4x4 3.0  TDI Dies","2013","Diesel","4x4",143060
"228","Toyota","Hilux CD SRV D4-D 4x4 3.0  TDI Dies","2014","Diesel","4x4",160231
"229","Toyota","Hilux CD SRV D4-D 4x4 3.0  TDI Dies","2015","Diesel","4x4",166668
"230","Toyota","Hilux CD SRV D4-D 4x4 3.0 TDI Diesel Aut","2007","Diesel","4x4",105635
"231","Toyota","Hilux CD SRV D4-D 4x4 3.0 TDI Diesel Aut","2008","Diesel","4x4",110254
"232","Toyota","Hilux CD SRV D4-D 4x4 3.0 TDI Diesel Aut","2009","Diesel","4x4",115334
"233","Toyota","Hilux CD SRV D4-D 4x4 3.0 TDI Diesel Aut","2010","Diesel","4x4",123119
"234","Toyota","Hilux CD SRV D4-D 4x4 3.0 TDI Diesel Aut","2011","Diesel","4x4",129798
"235","Toyota","Hilux CD SRV D4-D 4x4 3.0 TDI Diesel Aut","2012","Diesel","4x4",142025
"236","Toyota","Hilux CD SRV D4-D 4x4 3.0 TDI Diesel Aut","2013","Diesel","4x4",149521
"237","Toyota","Hilux CD SRV D4-D 4x4 3.0 TDI Diesel Aut","2014","Diesel","4x4",160907
"238","Toyota","Hilux CD SRV D4-D 4x4 3.0 TDI Diesel Aut","2015","Diesel","4x4",168600
"239","Toyota","Hilux Chassi D4-D 4x4 2.5 102cv TB Dies.","2007","Diesel","4x4",37148
"240","Toyota","Hilux Chassi D4-D 4x4 2.5 102cv TB Dies.","2008","Diesel","4x4",38628
"241","Toyota","Hilux Chassi D4-D 4x4 2.5 102cv TB Dies.","2009","Diesel","4x4",41874
"242","Toyota","Hilux Chassi D4-D 4x4 2.5 102cv TB Dies.","2010","Diesel","4x4",43480
"243","Toyota","Hilux Chassi D4-D 4x4 2.5 102cv TB Dies.","2011","Diesel","4x4",45714
"244","Toyota","Hilux Chassi D4-D 4x4 2.5 102cv TB Dies.","2012","Diesel","4x4",51773
"245","Toyota","Hilux CS D4-D 4x4 2.5 16V 102cv TB Dies.","2007","Diesel","4x4",56665
"246","Toyota","Hilux CS D4-D 4x4 2.5 16V 102cv TB Dies.","2008","Diesel","4x4",78573
"247","Toyota","Hilux CS D4-D 4x4 2.5 16V 102cv TB Dies.","2009","Diesel","4x4",80790
"248","Toyota","Hilux CS D4-D 4x4 2.5 16V 102cv TB Dies.","2010","Diesel","4x4",86155
"249","Toyota","Hilux CS D4-D 4x4 2.5 16V 102cv TB Dies.","2011","Diesel","4x4",89008
"250","Toyota","Hilux CS D4-D 4x4 2.5 16V 102cv TB Dies.","2012","Diesel","4x4",93390
"251","Toyota","Land Cruiser Prado 3.0 4x4 TB Diesel Aut","2007","Diesel","4x4",94152
"252","Toyota","Land Cruiser Prado 3.0 4x4 TB Diesel Aut","2008","Diesel","4x4",109166
"253","Toyota","Land Cruiser Prado 3.0 4x4 TB Diesel Aut","2009","Diesel","4x4",112540
"254","Toyota","Land Cruiser Prado 3.0 4x4 TB Diesel Mec","2007","Diesel","4x4",76525
"255","Toyota","RAV4 2.0 4x4 16V Aut.","2013","Gasolina","4x4",90043
"256","Toyota","RAV4 2.0 4x4 16V Aut.","2014","Gasolina","4x4",93299
"257","Toyota","RAV4 2.0 4x4 16V Aut.","2015","Gasolina","4x4",106419
"258","Troller","T-4 4x4 3.0 TB Int. Cap. Lona Diesel","2007","Diesel","4x4",73487
"259","Troller","T-4 4x4 3.0 TB Int. Cap. Lona Diesel","2008","Diesel","4x4",79894
"260","Troller","T-4 4x4 3.0 TB Int. Cap. Lona Diesel","2009","Diesel","4x4",82148
"261","Troller","T-4 4x4 3.0 TB Int. Cap. Lona Diesel","2010","Diesel","4x4",86224
"262","Troller","T-4 4x4 3.0 TB Int. Cap. Lona Diesel","2011","Diesel","4x4",92372
